0  1.24993 0.0018226  0.875472  182.256
0.451001  0.845387  -1.27091  -116.11  -134.929
0.452001  0.723126  -1.4006  -128.161  -124.335
0.453001  0.589627  -1.51937  -138.527  -113.111
0.454001  0.446755  -1.62665  -146.847  -101.382
0.455001  0.296725  -1.72203  -152.795  -89.325
0.456001  0.14202  -1.80527  -156.184  -77.1787
0.457001  -0.01479  -1.87644  -157.022  -65.2123
0.458001  -0.17124  -1.93584  -155.512  -53.6777
0.459001  -0.325144  -1.98401  -151.996  -42.771
0.460001  -0.4747  -2.02164  -146.886  -32.6137
0.461001  -0.618521  -2.0495  -140.589  -23.2554
0.462001  -0.755605  -2.06841  -133.47  -14.6895
0.463001  -0.885286  -2.07913  -125.826  -6.87128
0.464001  -1.00716  -2.08238  -117.885  0.264978
0.465001  -1.12101  -2.0788  -109.81  6.79407
0.466001  -1.22677  -2.06897  -101.713  12.7919
0.467001  -1.32445  -2.05337  -93.6646  18.3311
0.468001  -1.41413  -2.03244  -85.7025  23.4788
0.469001  -1.49589  -2.00653  -77.8425  28.296
0.470001  -1.56985  -1.97594  -70.0831  32.8375
0.471001  -1.63609  -1.94093  -62.4105  37.1526
0.472001  -1.69469  -1.90169  -54.8018  41.2856
0.473001  -1.7457  -1.8584  -47.2274  45.2763
0.474001  -1.78915  -1.81118  -39.6522  49.1609
0.475001  -1.825  -1.76011  -32.0367  52.9722
0.476001  -1.85319  -1.70525  -24.3374  56.7402
0.477001  -1.87363  -1.64663  -16.5068  60.4925
0.478001  -1.88614  -1.58426  -8.49364  64.2543
0.479001  -1.89053  -1.51811  -0.24206  68.0487
0.480001  -1.88653  -1.44814  8.30856  71.8966
0.481001  -1.8738  -1.37429  17.2244  75.8166
0.482001  -1.85193  -1.29648  26.5783  79.8246
0.483001  -1.82047  -1.21461  36.4503  83.9337
0.484001  -1.77883  -1.12858  46.9295  88.1527
0.485001  -1.72637  -1.03827  58.1151  92.4858
0.486001  -1.66233  -0.943568  70.1187  96.9304
0.487001  -1.58582  -0.844373  83.0659  101.475
0.488001  -1.49583  -0.740593  97.0998  106.095
0.489001  -1.3912  -0.632171  112.384  110.749
0.490001  -1.27059  -0.519105  129.108  115.368
0.491001  -1.13243  -0.401483  147.493  119.839
0.492001  -0.974961  -0.279539  167.798  123.972
0.493001  -0.796098  -0.153765  190.327  127.418
0.494001  -0.593455  -0.0251684  215.408  129.429
0.495001  -0.36441  0.103935  243.015  127.794
0.496001  -0.108291  0.226667  266.651  114.752
0.497001  0.159292  0.33014  264.318  92.5014
0.498001  0.415084  0.413733  246.118  75.7893
0.499001  0.650705  0.483358  225.092  64.0489
0.500001  0.865493  0.542724  204.675  55.028
0.501001  1.0605  0.593975  185.567  47.7059
0.502001  1.2371  0.638528  167.881  41.5678
0.503001  1.39671  0.677404  151.56  36.3132
0.504001  1.54064  0.711384  136.499  31.7477
0.505001  1.67009  0.741084  122.573  27.7353
0.506001  1.78613  0.767005  109.663  24.1756
0.507001  1.88972  0.78956  97.6515  20.9912
0.508001  1.9817  0.809092  86.4305  18.1203
0.509001  2.06281  0.825888  75.9003  15.5123
0.510001  2.1337  0.84019  65.9685  13.1249
0.511001  2.19492  0.852199  56.5503  10.9219
0.512001  2.24694  0.862085  47.5669  8.87197
0.513001  2.29017  0.869985  38.9451  6.94736
0.514001  2.32493  0.876013  30.6161  5.12323
0.515001  2.35148  0.880257  22.5148  3.37696
0.516001  2.37001  0.882786  14.5792  1.68755
0.517001  2.38067  0.883645  6.74903  0.0351878
0.518001  2.38353  0.882862  -1.03433  -1.59914
0.519001  2.3786  0.880446  -8.82911  -3.23408
0.520001  2.36585  0.876388  -16.6937  -4.88824
0.521001  2.34517  0.870657  -24.6873  -6.58055
0.522001  2.31641  0.863207  -32.871  -8.33067
0.523001  2.27934  0.85397  -41.3083  -10.1594
0.524001  2.23368  0.842855  -50.066  -12.089
0.525001  2.17908  0.82975  -59.2149  -14.144
0.526001  2.1151  0.814516  -68.8312  -16.3517
0.527001  2.04123  0.796985  -78.9969  -18.7428
0.528001  1.95689  0.776958  -89.8011  -21.3528
0.529001  1.86139  0.754193  -101.341  -24.2234
0.530001  1.75393  0.728407  -113.722  -27.4044
0.531001  1.63362  0.699261  -127.059  -30.957
0.532001  1.49945  0.666344  -141.477  -34.9586
0.533001  1.35027  0.62916  -157.106  -39.511
0.534001  1.18479  0.587092  -174.081  -44.7546
0.535001  1.00162  0.539353  -192.517  -50.8968
0.536001  0.799249  0.48489  -212.471  -58.2722
0.537001  0.576214  0.4222  -233.788  -67.4951
